meas_min,argu_min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_max,argu_max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_default,argu_default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,type
ChangeInsulationRValueForExteriorWalls,r_value,5.3,4.5,2.01,5.3,4.09,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,ChangeInsulationRValueForExteriorWalls,r_value,12.4,5.3,5.3,5.53,5.3,5.53,9.08,7.84,8.72,10.03,10.03,13.23,11.72,15.1,20.02,ChangeInsulationRValueForExteriorWalls,r_value,12.4,4.5,2.01,5.53,4.09,5.53,9.08,7.84,8.72,10.03,10.03,13.23,11.72,15.1,20.02,3
ChangeInsulationRValueForRoofs,r_value_roof,12.4,13.2,13.2,12.76,13.2,10.24,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,ChangeInsulationRValueForRoofs,r_value_roof,13.2,14.02,20.64,13.2,19.68,13.2,16.14,15.83,14.52,17.74,18.46,21.06,19.31,23.89,31.14,ChangeInsulationRValueForRoofs,r_value_roof,12.4,14.02,20.64,12.76,19.68,10.24,16.14,15.83,14.52,17.74,18.46,21.06,19.31,23.89,31.14,3
ChangeUValueandSHGCOfWindows,window_u_value_ip,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.52,0.52,0.52,0.52,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,0.72,1.03,0.72,0.59,0.72,0.72,0.59,0.59,0.58,0.58,0.58,0.58,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,0.72,1.03,0.72,0.59,0.72,0.72,0.59,0.59,0.52,0.52,0.52,0.52,2
ChangeUValueandSHGCOfWindows,window_shgc,0.25,0.25,0.25,0.26,0.25,0.39,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.49,0.62,ChangeUValueandSHGCOfWindows,window_shgc,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,ChangeUValueandSHGCOfWindows,window_shgc,0.25,0.25,0.25,0.26,0.25,0.39,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.49,0.62,2
SetGasBurnerEfficiency,eff,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,SetGasBurnerEfficiency,eff,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,SetGasBurnerEfficiency,eff,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,3
ReplaceLightsInSpaceTypeWithLPD,lpd,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,13.11044,ReplaceLightsInSpaceTypeWithLPD,lpd,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,24.34797,ReplaceLightsInSpaceTypeWithLPD,lpd,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,18.7292,3
ChangeCOPforSingleSpeedDXCoolingUnits,cop,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,ChangeCOPforSingleSpeedDXCoolingUnits,cop,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,ChangeCOPforSingleSpeedDXCoolingUnits,cop,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2
SetHeatingandCoolingSizingFactors,htg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetHeatingandCoolingSizingFactors,clg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetWaterHeaterEfficiency,heater_thermal_efficiency,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,4
AddOverhangsByProjectionFactor,projection_factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AddOverhangsByProjectionFactor,projection_factor,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,AddOverhangsByProjectionFactor,projection_factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ChangeOutdoorAir,design_spec_outdoor_air_per_area,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,ChangeOutdoorAir,design_spec_outdoor_air_per_area,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,ChangeOutdoorAir,design_spec_outdoor_air_per_area,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,1
ResizeExistingWindowsToMatchAGivenWWR,wwr,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,ResizeExistingWindowsToMatchAGivenWWR,wwr,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,ResizeExistingWindowsToMatchAGivenWWR,wwr,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,2
